country,data,min,25-perc,50-perc,75-perc,max
IT,carbon-intensity,219.029329,241.060318,279.202916,285.008504,296.746208
IT,cfe,42.203176,45.728436,47.60011,53.149181,57.423648
SE,carbon-intensity,3.150062,3.765761,4.293638,4.876138,5.94718
SE,cfe,99.213936,99.338007,99.411328,99.472495,99.540979
